t_rel_s,phase,mv,ma,watt,temp_max_c
27.138,warmup,4968.0,1344.0,6.6770,60.56
27.238,warmup,4968.0,1344.0,6.6770,60.47
27.338,warmup,4968.0,1352.0,6.7167,60.50
27.438,warmup,4968.0,1344.0,6.6770,60.53
27.538,warmup,4968.0,1344.0,6.6770,60.53
27.638,warmup,4968.0,1352.0,6.7167,60.66
27.739,warmup,4968.0,1344.0,6.6770,60.66
27.839,warmup,4968.0,1344.0,6.6770,60.66
27.939,warmup,4968.0,1352.0,6.7167,60.69
28.039,warmup,4968.0,1352.0,6.7167,60.56
28.139,warmup,4968.0,1352.0,6.7167,60.53
28.239,warmup,4968.0,1352.0,6.7167,60.59
28.339,warmup,4968.0,1352.0,6.7167,60.47
28.439,warmup,4968.0,1360.0,6.7565,60.59
28.540,warmup,4968.0,1360.0,6.7565,60.78
28.640,warmup,4968.0,1352.0,6.7167,60.75
28.740,warmup,4968.0,1352.0,6.7167,60.66
28.840,warmup,4968.0,1360.0,6.7565,60.59
28.940,warmup,4968.0,1360.0,6.7565,60.59
29.040,warmup,4968.0,1360.0,6.7565,60.53
29.140,warmup,4968.0,1352.0,6.7167,60.56
29.240,warmup,4968.0,1352.0,6.7167,60.56
29.341,warmup,4968.0,1360.0,6.7565,60.50
29.441,warmup,4968.0,1360.0,6.7565,60.69
29.541,warmup,4968.0,1352.0,6.7167,60.69
29.641,warmup,4968.0,1352.0,6.7167,60.66
29.741,warmup,4968.0,1360.0,6.7565,60.56
29.841,warmup,4968.0,1352.0,6.7167,60.69
29.941,warmup,4968.0,1344.0,6.6770,60.59
30.042,warmup,4968.0,1352.0,6.7167,60.66
30.142,warmup,4968.0,1360.0,6.7565,60.53
30.242,warmup,4968.0,1352.0,6.7167,60.75
30.342,warmup,4968.0,1344.0,6.6770,60.81
30.442,warmup,4968.0,1352.0,6.7167,60.81
30.542,warmup,4968.0,1360.0,6.7565,60.69
30.642,warmup,4968.0,1352.0,6.7167,60.66
30.743,warmup,4968.0,1344.0,6.6770,60.62
30.843,warmup,4968.0,1352.0,6.7167,60.66
30.943,warmup,4968.0,1352.0,6.7167,60.53
31.043,warmup,4968.0,1352.0,6.7167,60.59
31.143,warmup,4968.0,1344.0,6.6770,60.59
31.243,warmup,4968.0,1352.0,6.7167,60.81
31.343,warmup,4968.0,1360.0,6.7565,60.72
31.444,warmup,4968.0,1352.0,6.7167,60.78
31.544,warmup,4968.0,1352.0,6.7167,60.78
31.644,warmup,4968.0,1352.0,6.7167,60.59
31.744,warmup,4968.0,1360.0,6.7565,60.72
31.844,warmup,4968.0,1352.0,6.7167,60.66
31.944,warmup,4968.0,1352.0,6.7167,60.59
32.044,warmup,4968.0,1352.0,6.7167,60.84
32.144,warmup,4968.0,1360.0,6.7565,60.91
32.245,warmup,4968.0,1360.0,6.7565,60.84
32.345,warmup,4968.0,1352.0,6.7167,60.66
32.445,warmup,4968.0,1352.0,6.7167,60.72
32.545,warmup,4968.0,1360.0,6.7565,60.75
32.645,warmup,4968.0,1352.0,6.7167,60.66
32.745,warmup,4968.0,1344.0,6.6770,60.69
32.845,warmup,4968.0,1352.0,6.7167,60.66
32.946,warmup,4968.0,1352.0,6.7167,60.88
33.046,warmup,4968.0,1336.0,6.6372,60.88
33.146,warmup,4968.0,1344.0,6.6770,60.88
33.246,warmup,4968.0,1352.0,6.7167,60.78
33.346,warmup,4968.0,1352.0,6.7167,60.75
33.446,warmup,4968.0,1344.0,6.6770,60.69
33.547,warmup,4968.0,1352.0,6.7167,60.69
33.647,warmup,4968.0,1352.0,6.7167,60.69
33.747,warmup,4968.0,1360.0,6.7565,60.72
33.847,warmup,4968.0,1360.0,6.7565,60.75
33.947,warmup,4968.0,1352.0,6.7167,60.91
34.047,warmup,4968.0,1352.0,6.7167,60.97
34.147,warmup,4968.0,1360.0,6.7565,60.72
34.248,warmup,4968.0,1360.0,6.7565,60.84
34.348,warmup,4968.0,1352.0,6.7167,60.81
34.448,warmup,4968.0,1352.0,6.7167,60.69
34.548,warmup,4968.0,1360.0,6.7565,60.66
34.648,warmup,4968.0,1352.0,6.7167,60.69
34.748,warmup,4968.0,1344.0,6.6770,60.66
34.849,warmup,4968.0,1352.0,6.7167,60.94
34.949,warmup,4968.0,1352.0,6.7167,60.88
35.049,warmup,4968.0,1344.0,6.6770,60.81
35.149,warmup,4968.0,1344.0,6.6770,60.78
35.249,warmup,4968.0,1352.0,6.7167,60.78
35.349,warmup,4968.0,1352.0,6.7167,60.69
35.449,warmup,4968.0,1344.0,6.6770,60.75
35.550,warmup,4968.0,1352.0,6.7167,60.81
35.650,warmup,4968.0,1360.0,6.7565,60.75
35.750,warmup,4968.0,1352.0,6.7167,60.69
35.850,warmup,4968.0,1344.0,6.6770,60.97
35.950,warmup,4968.0,1352.0,6.7167,60.88
36.050,warmup,4968.0,1344.0,6.6770,60.91
36.150,warmup,4968.0,1344.0,6.6770,60.88
36.251,warmup,4968.0,1352.0,6.7167,60.78
36.351,warmup,4968.0,1360.0,6.7565,60.72
36.451,warmup,4968.0,1352.0,6.7167,60.69
36.551,warmup,4968.0,1352.0,6.7167,60.69
36.651,warmup,4968.0,1352.0,6.7167,60.72
36.751,warmup,4968.0,1360.0,6.7565,60.97
36.851,warmup,4968.0,1360.0,6.7565,60.84
36.952,warmup,4968.0,1360.0,6.7565,60.81
37.052,warmup,4968.0,1352.0,6.7167,60.81
37.152,warmup,4968.0,1352.0,6.7167,60.84
37.252,warmup,4968.0,1360.0,6.7565,60.88
37.352,warmup,4968.0,1360.0,6.7565,60.78
37.452,warmup,4968.0,1352.0,6.7167,60.75
37.552,warmup,4968.0,1352.0,6.7167,60.66
37.653,warmup,4968.0,1360.0,6.7565,60.97
37.753,warmup,4968.0,1352.0,6.7167,60.91
37.853,warmup,4968.0,1344.0,6.6770,60.84
37.953,warmup,4968.0,1352.0,6.7167,60.88
38.053,warmup,4968.0,1352.0,6.7167,60.84
38.153,warmup,4968.0,1344.0,6.6770,60.88
38.253,warmup,4968.0,1344.0,6.6770,60.72
38.353,warmup,4968.0,1352.0,6.7167,60.75
38.454,warmup,4968.0,1352.0,6.7167,60.69
38.554,warmup,4968.0,1344.0,6.6770,60.81
38.654,warmup,4968.0,1352.0,6.7167,60.91
38.754,warmup,4968.0,1352.0,6.7167,60.88
38.854,warmup,4968.0,1352.0,6.7167,60.84
38.954,warmup,4968.0,1352.0,6.7167,60.81
39.054,warmup,4968.0,1352.0,6.7167,60.84
39.155,warmup,4968.0,1352.0,6.7167,60.81
39.255,warmup,4968.0,1352.0,6.7167,60.78
39.355,warmup,4968.0,1352.0,6.7167,60.78
39.455,warmup,4968.0,1352.0,6.7167,60.78
39.555,warmup,4968.0,1360.0,6.7565,60.88
39.655,warmup,4968.0,1352.0,6.7167,60.94
39.755,warmup,4968.0,1352.0,6.7167,60.88
39.856,warmup,4968.0,1352.0,6.7167,60.88
39.956,warmup,4968.0,1360.0,6.7565,60.88
40.056,warmup,4968.0,1360.0,6.7565,60.84
40.156,warmup,4968.0,1352.0,6.7167,60.75
40.256,warmup,4968.0,1352.0,6.7167,60.72
40.356,warmup,4968.0,1360.0,6.7565,60.81
40.456,warmup,4968.0,1360.0,6.7565,61.00
40.557,warmup,4968.0,1352.0,6.7167,61.00
40.657,warmup,4968.0,1352.0,6.7167,60.94
40.757,warmup,4968.0,1360.0,6.7565,60.91
40.857,warmup,4968.0,1352.0,6.7167,60.88
40.957,warmup,4968.0,1344.0,6.6770,60.97
41.057,warmup,4968.0,1352.0,6.7167,60.84
