t_rel_s,phase,mv,ma,watt,temp_max_c
16.222,warmup,4984.0,976.0,4.8644,58.69
16.323,warmup,4984.0,976.0,4.8644,58.72
16.423,warmup,4984.0,976.0,4.8644,58.75
16.523,warmup,4984.0,976.0,4.8644,58.66
16.623,warmup,4984.0,976.0,4.8644,58.59
16.723,warmup,4984.0,976.0,4.8644,58.69
16.823,warmup,4984.0,976.0,4.8644,58.91
16.923,warmup,4984.0,976.0,4.8644,58.91
17.024,warmup,4984.0,976.0,4.8644,58.84
17.124,warmup,4984.0,968.0,4.8245,58.78
17.224,warmup,4984.0,968.0,4.8245,58.75
17.324,warmup,4984.0,968.0,4.8245,58.69
17.424,warmup,4984.0,968.0,4.8245,58.59
17.524,warmup,4984.0,968.0,4.8245,58.72
17.624,warmup,4984.0,968.0,4.8245,58.69
17.724,warmup,4984.0,968.0,4.8245,58.91
17.825,warmup,4984.0,968.0,4.8245,58.94
17.925,warmup,4984.0,968.0,4.8245,58.88
18.025,warmup,4984.0,968.0,4.8245,58.75
18.125,warmup,4984.0,968.0,4.8245,58.75
18.225,warmup,4984.0,968.0,4.8245,58.66
18.325,warmup,4984.0,968.0,4.8245,58.75
18.425,warmup,4984.0,968.0,4.8245,58.69
18.525,warmup,4984.0,968.0,4.8245,58.72
18.626,warmup,4984.0,968.0,4.8245,58.97
18.726,warmup,4984.0,968.0,4.8245,58.91
18.826,warmup,4984.0,968.0,4.8245,58.88
18.926,warmup,4984.0,968.0,4.8245,58.78
19.026,warmup,4984.0,968.0,4.8245,58.75
19.126,warmup,4984.0,968.0,4.8245,58.75
19.226,warmup,4984.0,968.0,4.8245,58.75
19.327,warmup,4984.0,968.0,4.8245,58.75
19.427,warmup,4984.0,968.0,4.8245,58.72
19.527,warmup,4984.0,968.0,4.8245,58.88
19.627,warmup,4984.0,968.0,4.8245,58.81
19.727,warmup,4984.0,968.0,4.8245,58.88
19.827,warmup,4984.0,968.0,4.8245,58.75
19.927,warmup,4984.0,968.0,4.8245,58.81
20.027,warmup,4984.0,968.0,4.8245,58.72
20.128,warmup,4984.0,968.0,4.8245,58.75
20.228,warmup,4984.0,968.0,4.8245,58.66
20.328,warmup,4984.0,968.0,4.8245,58.72
20.428,warmup,4984.0,968.0,4.8245,58.94
20.528,warmup,4984.0,968.0,4.8245,58.84
20.628,warmup,4984.0,968.0,4.8245,58.88
20.728,warmup,4984.0,968.0,4.8245,58.84
20.828,warmup,4984.0,968.0,4.8245,58.78
20.929,warmup,4984.0,968.0,4.8245,58.75
21.029,warmup,4984.0,968.0,4.8245,58.75
21.129,warmup,4984.0,968.0,4.8245,58.69
21.229,warmup,4984.0,968.0,4.8245,58.66
21.329,warmup,4984.0,968.0,4.8245,59.00
21.429,warmup,4984.0,968.0,4.8245,58.91
21.529,warmup,4984.0,968.0,4.8245,58.84
21.629,warmup,4984.0,968.0,4.8245,58.84
21.730,warmup,4984.0,968.0,4.8245,58.72
21.830,warmup,4984.0,968.0,4.8245,58.78
21.930,warmup,4984.0,968.0,4.8245,58.78
22.030,warmup,4984.0,968.0,4.8245,58.75
22.130,warmup,4984.0,968.0,4.8245,58.69
22.230,warmup,4984.0,968.0,4.8245,59.00
22.330,warmup,4984.0,968.0,4.8245,58.91
