t_rel_s,phase,mv,ma,watt,temp_max_c
22.334,warmup,4952.0,1768.0,8.7551,61.28
22.434,warmup,4952.0,1776.0,8.7948,61.19
22.534,warmup,4944.0,1792.0,8.8596,61.44
22.634,warmup,4944.0,1784.0,8.8201,61.38
22.734,warmup,4952.0,1776.0,8.7948,61.53
22.834,warmup,4952.0,1760.0,8.7155,61.34
22.934,warmup,4952.0,1776.0,8.7948,61.41
23.035,warmup,4944.0,1792.0,8.8596,61.31
23.135,warmup,4944.0,1784.0,8.8201,61.53
23.235,warmup,4944.0,1776.0,8.7805,61.41
23.335,warmup,4952.0,1760.0,8.7155,61.25
23.435,warmup,4952.0,1776.0,8.7948,61.56
23.535,warmup,4944.0,1784.0,8.8201,61.34
23.635,warmup,4952.0,1784.0,8.8344,61.25
23.736,warmup,4952.0,1776.0,8.7948,61.34
23.836,warmup,4952.0,1760.0,8.7155,61.19
23.936,warmup,4952.0,1784.0,8.8344,61.38
24.036,warmup,4944.0,1792.0,8.8596,61.44
24.136,warmup,4944.0,1784.0,8.8201,61.34
24.236,warmup,4952.0,1776.0,8.7948,61.41
24.336,warmup,4952.0,1768.0,8.7551,61.28
24.436,warmup,4944.0,1784.0,8.8201,61.56
24.537,warmup,4944.0,1784.0,8.8201,61.56
24.637,warmup,4944.0,1784.0,8.8201,61.50
24.737,warmup,4944.0,1776.0,8.7805,61.31
24.837,warmup,4952.0,1760.0,8.7155,61.44
24.938,warmup,4944.0,1776.0,8.7805,61.38
25.038,warmup,4944.0,1784.0,8.8201,61.41
25.138,warmup,4952.0,1784.0,8.8344,61.38
25.238,warmup,4952.0,1768.0,8.7551,61.34
25.338,warmup,4952.0,1760.0,8.7155,61.31
25.438,warmup,4944.0,1776.0,8.7805,61.41
25.539,warmup,4944.0,1784.0,8.8201,61.41
25.639,warmup,4944.0,1776.0,8.7805,61.53
25.739,warmup,4944.0,1768.0,8.7410,61.38
25.839,warmup,4952.0,1768.0,8.7551,61.41
25.939,warmup,4944.0,1784.0,8.8201,61.56
26.039,warmup,4944.0,1784.0,8.8201,61.53
26.139,warmup,4944.0,1776.0,8.7805,61.47
26.240,warmup,4952.0,1768.0,8.7551,61.59
26.340,warmup,4952.0,1768.0,8.7551,61.47
26.440,warmup,4944.0,1784.0,8.8201,61.34
26.540,warmup,4944.0,1784.0,8.8201,61.78
26.640,warmup,4944.0,1784.0,8.8201,61.53
