t_rel_s,phase,mv,ma,watt,temp_max_c
21.531,warmup,4952.0,1672.0,8.2797,61.03
21.631,warmup,4952.0,1664.0,8.2401,61.00
21.731,warmup,4952.0,1672.0,8.2797,61.03
21.832,warmup,4952.0,1672.0,8.2797,61.06
21.932,warmup,4952.0,1680.0,8.3194,61.03
22.032,warmup,4952.0,1672.0,8.2797,61.09
22.132,warmup,4952.0,1680.0,8.3194,61.25
22.232,warmup,4952.0,1672.0,8.2797,61.19
22.332,warmup,4952.0,1680.0,8.3194,61.31
22.432,warmup,4952.0,1672.0,8.2797,61.09
22.533,warmup,4952.0,1672.0,8.2797,61.12
22.633,warmup,4952.0,1672.0,8.2797,61.06
22.733,warmup,4952.0,1680.0,8.3194,61.28
22.833,warmup,4952.0,1672.0,8.2797,60.97
22.933,warmup,4952.0,1680.0,8.3194,60.97
23.033,warmup,4952.0,1672.0,8.2797,61.28
23.133,warmup,4952.0,1680.0,8.3194,61.22
23.234,warmup,4952.0,1672.0,8.2797,61.12
23.334,warmup,4952.0,1688.0,8.3590,61.16
23.434,warmup,4952.0,1672.0,8.2797,61.06
23.534,warmup,4952.0,1680.0,8.3194,61.25
23.634,warmup,4952.0,1672.0,8.2797,61.12
23.734,warmup,4952.0,1680.0,8.3194,61.09
23.834,warmup,4952.0,1672.0,8.2797,61.28
23.935,warmup,4952.0,1688.0,8.3590,61.25
24.035,warmup,4952.0,1672.0,8.2797,61.28
24.135,warmup,4952.0,1688.0,8.3590,61.31
24.235,warmup,4952.0,1664.0,8.2401,61.19
24.335,warmup,4952.0,1688.0,8.3590,61.16
24.435,warmup,4952.0,1672.0,8.2797,61.25
24.535,warmup,4952.0,1680.0,8.3194,61.25
24.636,warmup,4952.0,1672.0,8.2797,61.19
24.736,warmup,4952.0,1688.0,8.3590,61.31
24.836,warmup,4952.0,1664.0,8.2401,61.28
24.936,warmup,4952.0,1680.0,8.3194,61.28
25.036,warmup,4952.0,1664.0,8.2401,61.22
25.136,warmup,4952.0,1688.0,8.3590,61.28
25.236,warmup,4952.0,1672.0,8.2797,61.16
25.337,warmup,4952.0,1688.0,8.3590,61.34
25.437,warmup,4952.0,1664.0,8.2401,61.09
25.537,warmup,4952.0,1680.0,8.3194,61.34
